location,annual.mean.temp,mean.diurnal.range,isothermality,temp.seasonality,maxtemp.warm.month,mintemp.cold.month,temp.annual.range,meantemp.wet.quart,meantemp.dry.quart,meantemp.warm.quart,meantemp.cold.quart,annual.precip,precip.wet.month,precip.dry.month,precip.seasonality,precip.wet.quart,precip.dry.quart,precip.warm.quart,precip.cold.quart,elevation.mean,aspect.mean,slope.mean,artificial.surface,HabitatSuitability,RelativeRnott
Brewster,182.0736154,163.6213935,47.41798868,6602.645561,341.384544,-0.383987383,341.7685314,250.5208275,110.2361536,261.8478059,93.08572224,351.78973,62.03608869,7.771871231,66.02940904,169.0817794,28.80670749,154.3966973,32.690231,1093.380972,164.4148,3991.18871,0.012937425,0.007500705,18.0407553
Briscoe,147.3208667,157.2321164,39.34253488,8371.148412,339.6491541,-55.30186999,394.951024,237.1136836,36.6435144,253.2802018,36.6435144,517.4348471,92.7809439,11.54140695,58.67438409,219.6399525,42.56693381,216.8539626,42.56693381,862.9162956,140.1025,1746.86092,0.00750592,0.00063913,7.216258
Brooks,225.1549252,125.3017456,43.2122818,5679.024626,360.8865337,74.17581047,286.7107232,266.9741272,161.5660848,291.4968828,145.8697007,613.9092893,111.7051122,19.03179551,50.0994389,235.4273691,86.53647132,179.7758728,96.8659601,57.16302993,113.6536,241.95413,0.040644141,0.001949186,5.401729
Brown,179.2742317,141.7310875,39.44946809,7541.908097,349.5981087,-5.328605201,354.9267139,221.8664303,85.48522459,272.3430851,77.61140662,703.2195626,97.15514184,32.78161939,34.80910165,246.1722813,110.1634161,187.4435579,110.7884161,464.8950946,184.2134,1025.09995,0.00466186,0.000879218,0.4752541
Burleson,200.1078349,122.3491997,38.33824768,6804.468829,356.0117944,41.49031171,314.5214827,236.8652064,283.2190396,284.4439764,109.8108677,979.4170177,126.0273799,49.1053075,26.68449874,307.6529065,198.0876158,198.0884583,214.6693345,100.5935131,145.2327,622.40013,0.037471282,0.001220673,1.5541516
Burnet,185.1656016,132.9108086,38.96471242,7144.45596,347.1861628,10.21922756,336.9669353,224.8994165,96.62767435,273.3939983,89.74353987,775.8413448,113.2339539,39.17254793,33.19533204,267.1372604,136.2320089,180.9605446,137.4687413,355.0783551,163.9658,1554.29562,0.007075182,0.001145717,0.6239043
Caldwell,199.3235448,128.5322496,39.34189827,6773.530676,355.8704772,33.19297326,322.6775039,237.0891453,123.882538,281.7577347,107.5275302,873.6355532,116.851075,40.31200839,32.81279497,294.9019402,161.110645,198.7535396,166.5605663,154.9349764,172.352,733.46538,0.020202257,0.001012972,0.6714946
Calhoun,213.6947585,93.14182939,35.24665982,5881.75591,330.868962,70.42343268,260.4455293,260.3951696,171.3951696,283.3787256,132.2034943,1010.628983,156.3165468,42.57605344,35.25847893,342.3463515,162.8478931,278.2235355,190.4331963,6.919321686,168.4827,104.22453,0.058434743,0.004614758,4.944475
Callahan,176.9413953,135.8514729,38.08496124,7629.51938,346.9500775,-4.624496124,351.5745736,220.3612403,74.85209302,271.8027907,74.85209302,672.1572093,89.04465116,28.68806202,37.10232558,229.9063566,95.88930233,192.2043411,95.88930233,551.2217054,171.614,1122.5939,0.004950779,0.000817621,1.3055731
Cameron,229.4802242,96.24727499,39.83369667,4946.808471,337.8480224,99.43631268,238.4117097,268.1382747,186.6172532,286.4852071,160.4235441,674.5203986,141.8841482,20.76518219,54.03706011,277.163189,95.14543756,178.7278107,111.1332918,10.72967923,149.306,94.10881,0.253427105,0.063882543,4.2081921
Camp,177.002681,133.4101877,37.62734584,7655.266756,346.7855228,-4.071045576,350.8565684,176.1394102,266.7600536,272.2560322,73.84852547,1135.380697,122.6353887,57.07238606,19.41957105,344.7372654,222.7815013,228.7386059,260.0067024,115.0630027,150.1,632.16547,0.014935519,0.000141191,0.2390086
Carson,140.9878084,154.5773585,38.9808418,8364.086792,334.2287373,-56.9233672,391.1521045,239.0650218,32.34804064,247.4171263,31.72801161,523.2827286,89.37910015,12.09085631,57.23483309,227.5352685,44.15007257,226.543106,44.15007257,1028.573585,155.2105,686.09739,0.007659637,0.000665157,1.9772957
Cass,176.5702165,128.1538912,37.10795787,7535.241077,340.9107665,0.739613809,340.1711527,176.7115272,264.6480398,270.0740199,75.18022235,1201.924225,120.9230544,69.51199532,16.57343476,350.7045056,238.0740199,256.3604447,291.4444119,98.98917496,163.7864,823.50118,0.016194441,0.000750231,0.5097746
Castro,135.3937729,165.2701465,42.05708181,8037.499389,325.3141026,-62.94230769,388.2564103,237.5601343,30.11416361,237.5601343,30.11416361,457.9789377,79.84279609,11.01159951,61.65018315,208.3043346,37.86233211,208.3043346,37.86233211,1158.482906,135.4977,371.90542,0.007458894,0.000446548,1.0811322
Chambers,203.527677,100.8139746,36.21914701,6261.338022,331.8103448,57.48956443,274.3207804,271.7912886,163.3566243,279.1079855,118.5290381,1292.765426,152.9423775,73.80626134,20.3738657,383.4931942,240.353902,367.7604356,289.1905626,6.775862069,179.0392,118.67168,0.094034601,0.005250411,3.264288
Cherokee,187.1982461,126.1320755,38.06351315,7093.802551,347.2399681,19.26840287,327.9715652,221.9487111,273.3964922,274.3630082,90.81318097,1106.219506,122.1323412,55.60217911,17.84294446,320.8796173,222.4121711,222.7871379,265.4068562,126.2617592,169.8684,1180.16812,0.025433894,0.001461792,0.6395984
Childress,165.4404401,151.2981791,37.96775417,8532.785281,360.0701821,-34.27731411,394.3474962,234.1927162,53.37860395,274.2025797,53.37860395,542.4734446,87.57738998,14.0853566,52.42412747,215.801214,51.13732929,184.642261,51.13732929,547.2473445,153.4955,905.68403,0.00888973,0.000640566,1.6804653
Clay,174.1293945,139.8508301,36.09082031,8350.003906,359.8706055,-21.49487305,381.3654785,218.9233398,62.68896484,278.9968262,62.68530273,779.0087891,116.2768555,31.42431641,38.22363281,274.4689941,113.1757813,197.6010742,113.1757813,295.9980469,170.1994,629.53935,0.004441322,0.000513079,0.8810816
Cochran,142.8129935,171.2455133,44.15613783,7766.925341,327.7189519,-56.2839196,384.0028715,236.4361091,54.87006461,241.1414214,40.64465183,450.9982053,72.72254128,10.03840632,62.3011486,203.4583632,38.93144293,202.7946877,38.97595118,1158.72972,115.6353,288.06703,0.009255485,0.000596571,3.2866521
Coke,175.2806597,150.9553223,40.63238381,7710.377211,348.4413793,-18.46386807,366.9052474,230.1133433,70.93253373,270.5109445,70.93253373,579.8029985,91.74062969,20.11004498,47.13703148,213.6170915,71.67826087,169.644078,71.67826087,647.2332834,151.3469,1578.54492,0.006211693,0.000830093,3.9733043
Coleman,179.7696003,144.4717187,40.05568902,7486.504477,350.2367329,-6.104389605,356.3411225,223.5199825,81.9663682,272.1028609,78.68377375,662.0216204,93.17274514,28.59467133,39.39397248,231.955012,94.29351387,186.3184101,94.41362743,518.4332824,161.8675,958.16455,0.004477546,0.001019025,2.2869893
Collin,176.8878125,124.441875,34.9021875,7967.700938,348.7075,-4.388125,353.095625,218.914375,70.045,276.3,70.045,1006.477813,145.59625,50.1928125,31.2575,342.959375,179.948125,215.5025,179.948125,192.39875,174.7174,689.53985,0.051811175,0.007530037,0.3126795
Collingsworth,157.5118343,152.7571006,37.96715976,8563.421006,354.7822485,-43.36952663,398.1517751,240.4378698,44.69497041,266.3739645,44.69497041,558.3310651,91.06804734,12.64970414,53.69615385,225.5840237,48.66301775,194.1769231,48.66301775,651.9517751,147.1896,1130.81696,0.007213022,0.000617612,3.8924949
Colorado,200.4324963,126.4366322,39.93884786,6484.960414,351.4862629,38.70310192,312.783161,237.0971935,138.83161,278.9595273,111.7391433,1034.234564,129.774003,59.89423929,24.85672083,313.8490399,204.915805,249.0581979,218.3601182,76.02215657,151.1153,417.38195,0.030736749,0.001922354,1.9804507
Comal,195.119202,126.4678304,39.32369077,6702.981047,347.8718204,30.3915212,317.4802993,232.5082294,117.1695761,276.9685786,104.765586,848.8743142,109.5506234,46.38503741,30.50473815,277.640399,152.4473815,209.1571072,154.9182045,314.0563591,157.4077,1587.96489,0.029319379,0.003461457,0.9184139
Comanche,178.0008897,137.0432977,38.04982206,7617.639087,348.6960261,-6.191874259,354.8879004,220.2001779,75.16637011,272.3036773,75.16637011,744.9119217,105.4311981,35.38997628,33.5613879,262.3609134,120.9688612,184.8033808,120.9688612,418.0029656,141.7009,1078.67241,0.004415177,0.000654592,0.9591718
Concho,182.7952556,152.5362892,42.1109856,7297.975148,353.8475007,-4.195989833,358.0434905,231.3815306,94.87856538,273.1618187,84.99915278,608.0539396,87.07935611,25.1666196,41.07483762,208.0282406,84.32250777,173.1146569,84.78395933,570.7390568,153.8633,857.47454,0.004668784,0.000768168,4.0490086
Cooke,173.8317986,129.1372007,35.10374463,8081.14733,351.2940454,-10.36341314,361.6574586,216.0813382,66.39686924,275.4205034,66.39686924,926.1967465,129.7805402,43.12001228,33.02486188,315.2470841,148.1998158,212.062922,148.1998158,258.5101289,155.7972,989.03956,0.006078295,0.000756981,0.4109051
Coryell,186.1441973,129.8453498,37.49396945,7362.678638,351.9332619,10.34870008,341.5845618,225.6065398,92.17957652,277.358349,87.42267489,795.6279818,109.000536,42.5880461,29.32779416,273.2674886,143.6939158,188.5467703,144.9656928,293.8099705,139.4755,1314.28372,0.011980966,0.002637268,0.743299
Cottle,165.359633,151.3706422,37.97584098,8521.572171,359.2211009,-34.93547401,394.1565749,252.5700306,52.84342508,273.4055046,52.54954128,561.329052,83.8116208,17.17706422,49.5293578,212.2348624,60.15657492,189.683792,60.15657492,553.9171254,154.722,1037.7057,0.006772286,0.000728918,7.816079
Crane,184.3082192,162.6355443,43.2072819,7625.403028,358.0079308,-13.96611391,371.9740447,241.8540014,102.4452055,278.5865177,82.10562365,337.517664,64.07245854,9.375630858,56.01910598,140.8211968,34.56272531,109.8374189,37.3777938,778.5612833,194.5995,539.06996,0.019987389,0.001113121,5.8558395
Crockett,181.2701254,150.5005057,42.04965615,7309.652002,344.9195995,-8.603256472,353.522856,232.0604773,86.22704288,270.0956715,81.75627023,459.3693366,78.28377832,14.65645227,49.14300162,184.0985032,53.16009304,139.2753843,53.33110841,741.5689725,171.523,1767.10471,0.010255828,0.003178201,16.4752444
Crosby,157.0399754,152.1737392,40.10301353,7999.395756,339.6285363,-34.84348093,374.4720172,240.0218327,51.87730627,258.1857319,51.8397909,527.5113776,79.11869619,13.35332103,53.62915129,207.6924969,49.56672817,200.7598401,49.56672817,892.3548585,145.8934,859.06731,0.010048367,0.00097876,2.811063
Culberson,164.9006451,165.6114036,45.85697338,7095.950842,338.8596426,-18.28412545,357.1437681,243.5098984,119.4134352,254.5121228,71.88336917,275.4598502,54.0999481,5.727811967,72.47705198,140.968414,20.07073478,126.7749685,27.17075703,1257.228071,149.6595,2753.95071,0.030179669,0.007096308,50.3529866
Dallam,126.8941599,164.5595687,40.76963163,8371.760288,327.1227314,-71.32057502,398.4433064,232.1045822,20.79712489,236.1189578,20.79712489,413.1735849,67.46864331,8.804492363,64.05498652,191.0150943,28.67978437,190.879425,28.67978437,1266.113208,121.9929,496.95276,0.012082032,0.000981029,3.9574486
Dallas,184.6524015,122.0766626,34.51662562,7893.844212,353.8497537,5.876539409,347.9732143,226.1668719,93.78509852,283.5788177,79.61391626,927.382697,131.8706897,48.40671182,30.47044335,316.9876847,170.6105296,193.7299877,171.4621305,160.2118227,150.1293,728.02602,0.188454448,0.032078921,0.2974425
Dawson,164.2161994,158.694081,41.79096573,7796.094393,344.1096573,-30.67476636,374.7844237,249.565109,60.18847352,261.3657321,60.18847352,457.9258567,72.42305296,13.29657321,55.16323988,183.1813084,42.76697819,171.1978193,42.76697819,902.7174455,148.8376,447.24936,0.011530741,0.001207113,1.6825737
Deaf Smith,133.8974359,164.2051282,41.87417582,8060.776374,324.9840659,-62.8518315,387.8358974,237.1791209,29.11483516,237.1791209,29.11483516,449.5637363,74.74908425,11.64304029,59.81117216,207.6824176,39.20769231,207.6824176,39.20769231,1238.176374,142.7892,567.6122,0.007929114,0.001039749,1.1378539
Delta,171.8974874,128.0864322,35.22211055,8017.547739,345.9819095,-11.81708543,357.798995,184.0914573,65.89447236,271.8311558,64.03417085,1121.805025,140.9959799,56.34874372,23.95879397,348.0492462,224.8140704,235.0582915,224.8160804,141.8361809,143.8966,480.68468,0.013478917,0.00014202,0.5523969
Denton,177.7496348,127.1627228,34.99941572,8056.568799,351.363716,-7.128834356,358.4925504,220.564125,69.84312007,278.4948875,69.84312007,934.7072743,134.477359,45.93923459,32.66462168,319.4393807,156.8892784,205.3444347,156.8892784,200.347064,152.9164,684.88036,0.040012493,0.005911698,0.2797352
DeWitt,208.0254372,127.0734499,40.82957075,6239.335453,354.2645469,46.80317965,307.4613672,244.3713831,137.163434,282.7783784,122.0658188,878.881399,120.6969793,43.76375199,32.46931638,284.8963434,155.1332273,220.7599364,162.6502385,88.72718601,154.8289,661.20867,0.017936253,0.001339379,1.4895289
Dickens,161.6336996,152.8006716,39.23809524,8205.811661,349.4481074,-35.34401709,384.7921245,245.8827839,53.19444444,265.1984127,52.77075702,557.9099512,81.56684982,16.7008547,50.63217338,209.1321734,58.79517705,197.8580586,58.79517705,729.973138,137.0809,1187.06222,0.006459836,0.00073976,5.4846927
Dimmit,218.985888,135.1374294,41.85171515,6543.455927,371.7959184,52.47828919,319.3176292,266.6302649,144.2307859,297.538211,129.1172384,546.1888841,80.13265306,21.38341294,45.98436822,200.4902301,73.69952236,153.4381242,75.47394703,186.3334781,160.4401,562.68211,0.02086958,0.002717417,5.7455661
Donley,149.2157093,155.4202814,38.51699883,8463.130715,346.0471864,-51.99413834,398.0413247,235.6644197,37.56008206,256.4958968,37.56008206,545.5832356,90.53223916,12.71424385,55.45193435,229.4783118,47.27286049,213.0152403,47.27286049,812.7467761,148.9939,1379.51408,0.006093132,0.00060053,3.0361416
Duval,217.7731065,134.4532963,43.41714379,6058.102078,361.7348274,55.42106985,306.3137576,262.5607721,147.9664649,288.7142156,132.9319483,612.7735973,109.2769508,22.40193031,48.93620154,227.4804515,87.97039097,174.3888434,91.61786357,150.7359725,136.4749,653.52722,0.021739004,0.002751112,4.5104119
Eastland,174.3325366,138.9716164,37.99910367,7816.760084,348.3480729,-13.18763071,361.5357036,218.2733791,68.77382731,271.2043621,68.74424858,728.6166716,99.72662085,33.07200478,34.00746938,251.6071108,112.9647445,190.7627726,112.9647445,465.8347774,156.8963,960.04579,0.00395825,0.000627366,0.6937876
Ector,174.7591558,157.5540037,42.45096214,7583.678461,347.4782744,-18.75356921,366.2318436,258.8566108,89.35226567,268.7808814,73.54376164,360.8345748,65.80105525,9.042209808,56.50341403,149.711049,35.89975171,126.08473,36.46927374,921.4307883,133.0646,513.31126,0.033975231,0.003134741,0.5398708
Edwards,184.9124729,143.5760281,42.45833333,6757.193858,340.8674242,6.44534632,334.4220779,236.628382,99.11295996,266.3614719,92.58712121,610.5293561,79.71090368,21.67058983,40.84929654,212.7895022,77.94304654,195.8080357,78.27245671,647.3095238,183.273,1539.32601,0.005307233,0.001866429,18.454752
Ellis,185.8067079,127.309797,35.90085319,7716.485143,355.8002354,6.291850544,349.5083848,226.7166814,174.4683731,281.7952339,82.24801412,917.8049426,128.9037952,47.45013239,29.58252427,305.9002648,175.9920565,183.2106502,180.6516623,166.6384231,137.8649,713.5985,0.024012029,0.002149467,0.3955013
El Paso,169.0225501,170.7483296,45.25668151,7619.097439,354.3633073,-18.79092428,373.1542316,255.3023385,165.0876949,266.2157572,71.16898664,227.8900334,46.08491091,3.969097996,73.81876392,127.4164811,18.08769488,108.0219933,33.15089087,1230.985802,209.9908,1907.59413,0.1385454,0.028126543,0.8837298
Erath,177.3917394,135.4779374,38.17008722,7594.783222,349.0220626,-1.834017445,350.85608,219.2955362,84.78116983,272.1754746,75.85351462,789.1367368,115.9766547,40.69574141,32.64571575,277.3011801,132.9612622,190.975372,134.9817855,386.1015906,154.8309,1207.17499,0.004706479,0.001053184,0.6655137
Falls,193.5469492,127.2740227,37.42857143,7206.500183,357.1308001,21.50018268,335.6306175,232.2042382,224.3354037,282.3178663,96.38984289,887.3839971,119.0222872,48.19729631,26.60650347,281.2550237,177.1110705,178.4504932,180.9853855,134.6971136,163.1291,591.52024,0.01815707,0.001018401,1.1435729
Fannin,169.8796923,126.2458462,34.99353846,8018.697231,343.1473846,-12.716,355.8633846,212.9833846,62.46369231,270.1578462,62.46369231,1092.199385,147.6630769,53.98,28.07446154,354.904,199.9289231,239.0710769,199.9289231,187.0286154,168.4044,566.44793,0.008225641,0.000568578,0.3677886
Fayette,200.3483987,125.5501347,39.11224184,6616.563604,354.1364861,37.6279557,316.5085304,236.7644418,126.0245435,281.0347201,110.340018,974.583059,126.5731817,52.24004789,27.98323855,307.6692607,193.4717151,217.7333134,203.5459443,114.646513,169.0216,714.8802,0.022931002,0.001463928,1.4261662
Fisher,176.1141002,146.7894249,39.52721088,7846.419604,353.7773655,-13.87414966,367.6515152,231.5726654,71.40321583,274.22047,71.40321583,597.5862709,93.39115646,20.84199134,46.78293135,214.6691404,72.14285714,182.399196,72.14285714,607.6880025,146.0666,901.65876,0.007894033,0.000995777,4.6568518
Floyd,147.9963819,151.8433064,39.22098525,8170.42555,334.2710827,-48.34845533,382.619538,232.7865294,40.21486223,251.465071,40.21486223,522.1093793,88.6637907,11.25354857,57.41079878,215.0013916,44.20957417,212.2051211,44.20957417,960.0573337,129.1148,453.22489,0.01166358,0.000907879,2.3843048
Foard,168.7628945,150.1843726,37.38799076,8610.671671,362.6555042,-33.01732102,395.6728253,241.8714396,54.80946882,277.7698229,54.80946882,619.2247883,92.61431871,21.45034642,45.60931486,222.5019246,72.48152425,188.8287144,72.48152425,458.0627406,138.043,758.42392,0.005420956,0.000475362,5.9983907
Fort Bend,202.4033887,114.0433366,38.56467905,6290.24666,340.4975562,48.70511567,291.7924405,250.4512871,163.7275986,277.8719453,115.609319,1122.977517,135.3066145,62.81590094,22.68686869,335.1130661,204.7901597,311.3773216,233.8054741,29.19843597,159.2317,136.66894,0.137450547,0.019421937,1.1658744
Franklin,172.9375582,133.7735322,36.98695247,7830.78658,346.2273998,-10.416589,356.6439888,172.1509786,265.9776328,270.3410997,67.37092265,1130.914259,127.667288,56.32525629,20.36533085,343.2395154,230.8713886,233.7008388,246.4547996,129.8835042,164.7843,590.65229,0.014135073,0.000172459,0.3416044
Freestone,189.6058026,130.8710186,38.10249133,7153.42731,355.688111,18.14538001,337.542731,220.6048565,278.1501104,278.1501104,93.23904131,1008.773258,120.8300221,51.11447493,22.87228004,303.9895932,191.2841375,191.2841375,225.748029,121.2254809,165.6156,713.97738,0.015654948,0.000953638,1.1009855
Frio,211.4031107,138.1318205,42.48062213,6455.295003,362.7534421,41.38704742,321.3663947,252.4650688,139.9949006,287.7853136,121.6611423,624.2126466,88.81132075,26.40005099,40.44747578,218.145844,91.23406425,173.7220806,94.84421214,177.5683325,157.4078,568.25475,0.011782495,0.001487589,1.9746418
Gaines,162.9977654,164.2631285,43.658473,7612.163501,342.5573557,-29.60148976,372.1588454,248.2914339,66.51936685,258.6210428,62.81657356,421.186406,63.57709497,11.06554935,56.96592179,178.8480447,39.05363128,170.4875233,39.12960894,1011.050093,132.9127,360.99447,0.013375569,0.001905811,2.7287972
Galveston,206.0813953,88.8495212,33.67783858,6081.740082,325.9110807,66.49247606,259.4186047,276.125855,168.2783858,279.0102599,123.3413133,1157.49316,158.370041,60.90629275,25.45143639,372.4589603,213.2592339,336.1757866,257.1504788,6.227086183,174.7792,107.44473,0.151473661,0.022072341,1.9670234
Garza,165.4296778,152.7515489,40.5350062,7913.200434,345.4622057,-26.69392813,372.1561338,247.1787485,60.55080545,264.8162949,60.55080545,520.7332714,74.61741016,15.49070632,52.53221809,201.6406444,51.62143742,191.5446097,51.62143742,766.7131351,140.7697,1242.28061,0.008316181,0.00100684,4.2568801
Gillespie,181.5299377,138.3359523,41.49715524,6727.239501,338.9046329,9.167705229,329.7369277,224.1714982,91.9555676,263.5627201,90.3774045,750.2495259,103.1560553,34.02194527,35.98320238,252.6868057,115.3454348,207.0430778,115.3746952,564.4378217,157.8117,1718.65774,0.003813856,0.000938924,0.9600626
Glasscock,170.9864524,155.0031506,41.50283554,7699.116572,344.0340265,-25.22180214,369.2558286,246.4303718,68.33553875,265.9773157,67.36452426,451.5412728,79.0078765,14.89981096,52.29615627,174.0491493,50.16603655,144.9785759,50.16603655,807.6424071,171.9666,599.79657,0.010657217,0.000966597,14.5277736
Goliad,213.6920999,123.3024983,41.36765699,5946.636394,352.1066847,57.29304524,294.8136394,260.2319379,145.8980419,284.3308575,131.4071573,860.9527346,125.8193788,35.63808238,35.85246455,288.6411209,137.498312,242.5384875,147.7312627,61.67116813,143.3136,475.70613,0.024818974,0.001403226,4.2916773
Gonzales,203.3342318,129.0986523,40.07493261,6551.789218,356.7169811,38.40107817,318.315903,239.8091644,129.7574124,282.3973046,113.6334232,870.4557951,114.6797844,43.73962264,32.24150943,294.5307278,159.7048518,210.4134771,164.5827493,106.9803235,164.1347,642.86133,0.014757211,0.00128916,1.5038248
