id,Geography
134,"Kimble County, Texas"
135,"King County, Texas"
136,"Kinney County, Texas"
137,"Kleberg County, Texas"
138,"Knox County, Texas"
139,"Lamar County, Texas"
140,"Lamb County, Texas"
141,"Lampasas County, Texas"
142,"La Salle County, Texas"
143,"Lavaca County, Texas"
144,"Lee County, Texas"
145,"Leon County, Texas"
146,"Liberty County, Texas"
147,"Limestone County, Texas"
148,"Lipscomb County, Texas"
149,"Live Oak County, Texas"
150,"Llano County, Texas"
151,"Loving County, Texas"
152,"Lubbock County, Texas"
153,"Lynn County, Texas"
154,"McCulloch County, Texas"
155,"McLennan County, Texas"
156,"McMullen County, Texas"
157,"Madison County, Texas"
158,"Marion County, Texas"
159,"Martin County, Texas"
160,"Mason County, Texas"
161,"Matagorda County, Texas"
162,"Maverick County, Texas"
163,"Medina County, Texas"
164,"Menard County, Texas"
165,"Midland County, Texas"
166,"Milam County, Texas"
167,"Mills County, Texas"
168,"Mitchell County, Texas"
169,"Montague County, Texas"
170,"Montgomery County, Texas"
171,"Moore County, Texas"
172,"Morris County, Texas"
173,"Motley County, Texas"
174,"Nacogdoches County, Texas"
175,"Navarro County, Texas"
176,"Newton County, Texas"
177,"Nolan County, Texas"
178,"Nueces County, Texas"
179,"Ochiltree County, Texas"
180,"Oldham County, Texas"
181,"Orange County, Texas"
182,"Palo Pinto County, Texas"
183,"Panola County, Texas"
184,"Parker County, Texas"
185,"Parmer County, Texas"
186,"Pecos County, Texas"
187,"Polk County, Texas"
188,"Potter County, Texas"
189,"Presidio County, Texas"
190,"Rains County, Texas"
191,"Randall County, Texas"
192,"Reagan County, Texas"
193,"Real County, Texas"
194,"Red River County, Texas"
195,"Reeves County, Texas"
196,"Refugio County, Texas"
197,"Roberts County, Texas"
198,"Robertson County, Texas"
199,"Rockwall County, Texas"
200,"Runnels County, Texas"
201,"Rusk County, Texas"
202,"Sabine County, Texas"
203,"San Augustine County, Texas"
204,"San Jacinto County, Texas"
205,"San Patricio County, Texas"
206,"San Saba County, Texas"
207,"Schleicher County, Texas"
208,"Scurry County, Texas"
209,"Shackelford County, Texas"
210,"Shelby County, Texas"
211,"Sherman County, Texas"
212,"Smith County, Texas"
213,"Somervell County, Texas"
214,"Starr County, Texas"
215,"Stephens County, Texas"
216,"Sterling County, Texas"
217,"Stonewall County, Texas"
218,"Sutton County, Texas"
219,"Swisher County, Texas"
220,"Tarrant County, Texas"
221,"Taylor County, Texas"
222,"Terrell County, Texas"
223,"Terry County, Texas"
224,"Throckmorton County, Texas"
225,"Titus County, Texas"
226,"Tom Green County, Texas"
227,"Travis County, Texas"
228,"Trinity County, Texas"
229,"Tyler County, Texas"
230,"Upshur County, Texas"
231,"Upton County, Texas"
232,"Uvalde County, Texas"
233,"Val Verde County, Texas"
234,"Van Zandt County, Texas"
235,"Victoria County, Texas"
236,"Walker County, Texas"
237,"Waller County, Texas"
238,"Ward County, Texas"
239,"Washington County, Texas"
240,"Webb County, Texas"
241,"Wharton County, Texas"
242,"Wheeler County, Texas"
243,"Wichita County, Texas"
244,"Wilbarger County, Texas"
245,"Willacy County, Texas"
246,"Williamson County, Texas"
247,"Wilson County, Texas"
248,"Winkler County, Texas"
249,"Wise County, Texas"
250,"Wood County, Texas"
251,"Yoakum County, Texas"
252,"Young County, Texas"
253,"Zapata County, Texas"
254,"Zavala County, Texas"
