"id","county","mosquito.abundance","gdp","importation.projected"
110,"hockley",0.0818079271382981,33032.143,0.001
111,"hood",0.451532844993651,41219.879,0.002
112,"hopkins",0.249041021890479,32089.388,0.002
113,"houston",1.19148296278973,27704.533,0.001
114,"howard",0.11780152595323,31681.585,0.001
115,"hudspeth",0.0459475621190441,20200.308,0.003
116,"hunt",0.273266567057482,34203.694,0.002
117,"hutchinson",0.082496340366922,38271.113,0.001
118,"irion",0.0569964175461319,35015.407,0
119,"jack",0.157919374503836,29952.884,0.001
120,"jackson",0.737396232044542,31549.039,0.001
121,"jasper",0.891204162018178,31442.564,0.001
122,"jeff davis",0.039351469265568,27350.9,0.002
123,"jefferson",0.951765819769868,38390.058,0.002
124,"jim hogg",0.433458818828568,30523.345,0.001
125,"jim wells",0.762433894353029,31942.515,0.002
126,"johnson",0.717748997801013,34419.594,0.001
127,"jones",0.287444319993841,26605.128,0.001
128,"karnes",0.53456364939847,23386.032,0.001
129,"kaufman",0.666585957871511,34862.068,0.001
130,"kendall",0.387194827353562,50361.135,0.005
131,"kenedy",0.681786987849337,33857.084,0.002
132,"kent",0.0708831393833721,31557.87,0.001
133,"kerr",0.1141594561263,45787.499,0.002
134,"kimble",0.0831038693838184,28543.713,0.001
135,"king",0.093689619353361,31677.361,0
136,"kinney",0.19957976862592,26288.154,0.001
137,"kleberg",0.6474204839432,32164.357,0.004
138,"knox",0.299325616051015,31949.217,0.001
139,"lamar",0.345858262391371,31545.129,0.002
140,"lamb",0.0789092649040729,30816.518,0.001
141,"lampasas",0.208566694540238,38899.887,0.002
142,"la salle",0.356302735733597,22318.633,0.001
143,"lavaca",0.790543921608534,37669.234,0.001
144,"lee",0.673846569248561,34266.032,0.001
145,"leon",0.992000611167393,32814.854,0.001
146,"liberty",0.983488791756158,34775.061,0.001
147,"limestone",0.697411005786117,30533.134,0.001
148,"lipscomb",0.0887923629701787,35376.368,0
149,"live oak",0.58283896716206,27689.774,0.001
150,"llano",0.219000388889748,35833.169,0.002
151,"loving",0.0514017005562222,105121.388,0
152,"lubbock",0.170474279938241,36166.065,0.003
153,"lynn",0.0955401319654147,38256.088,0.001
154,"mcculloch",0.10036416681327,32054.793,0.001
155,"mclennan",0.797148981985448,35331.891,0.004
156,"mcmullen",0.398661066274514,34173.419,0.001
157,"madison",1.0676513934447,30120.416,0.002
158,"marion",0.799423994158073,27655.783,0.002
159,"martin",0.111254214291016,32901.187,0.001
160,"mason",0.0963974548117507,31049.965,0.001
161,"matagorda",0.763304923223047,30076.61,0.001
162,"maverick",0.296560029478128,19550.412,0.003
163,"medina",0.464428759743123,30827.667,0.001
164,"menard",0.0696438116157767,30355.349,0.002
165,"midland",0.0808639793141319,55913.815,0.001
166,"milam",0.746455879321356,31293.454,0.001
167,"mills",0.156864273132421,32333.171,0.001
168,"mitchell",0.116228014993643,22501.696,0
169,"montague",0.1663657762889,35305.543,0.001
170,"montgomery",1.11225651646828,48342.892,0.005
171,"moore",0.0706788767120896,32290.865,0
172,"morris",0.924806559420565,34005.703,0.001
173,"motley",0.0669921400353416,30948.047,0.001
174,"nacogdoches",0.867378505158182,29418.053,0.005
175,"navarro",0.702241168036244,30417.098,0.002
176,"newton",0.834325903864275,25354.675,0.001
177,"nolan",0.110418175516566,32907.945,0.001
178,"nueces",0.742353702175921,39048.436,0.004
179,"ochiltree",0.0918976399220073,43651.808,0.001
180,"oldham",0.0321799837591793,29328.097,0.001
181,"orange",1.06688107444346,34474.34,0.001
182,"palo pinto",0.185243602293044,34030.246,0.002
183,"panola",0.503207253863342,34402.214,0.001
184,"parker",0.475107069182111,40126.105,0.002
185,"parmer",0.0975479730662725,32448.509,0
186,"pecos",0.0830977738386412,22929.188,0.001
187,"polk",0.826770390088513,36344.089,0.001
188,"potter",0.137410102788204,34635.899,0.001
189,"presidio",0.0951901497558276,20521.031,0.002
190,"rains",0.31993152064563,29009.38,0.001
191,"randall",0.0832486824900075,40263.824,0.001
192,"reagan",0.0523823060139502,35668.121,0
193,"real",0.167224369520693,29810.288,0.001
194,"red river",0.398162106092403,28005.577,0.001
195,"reeves",0.0572436517164142,24727.84,0.001
196,"refugio",0.674446130191598,36019.726,0.001
197,"roberts",0.0944374563070325,36997.3,0
198,"robertson",0.795107129206496,33302.293,0.002
199,"rockwall",0.645674226483675,48736.089,0.003
200,"runnels",0.242628695926567,28762.953,0.001
201,"rusk",0.639039441124477,31786.579,0.001
202,"sabine",0.578751901141269,32382.694,0.002
203,"san augustine",0.563916937868454,29366.742,0.002
204,"san jacinto",0.973175011129718,32340.16,0.001
205,"san patricio",0.789906069184226,32707.845,0.001
206,"san saba",0.14615466420375,29705.998,0.001
207,"schleicher",0.0660037445242429,28522.133,0.001
208,"scurry",0.109661730159307,41642.042,0.001
209,"shackelford",0.0916589689418272,39568.219,0.001
210,"shelby",0.515066341905597,31751.77,0.002
211,"sherman",0.104589914558623,65676.248,0.001
212,"smith",0.604191912250346,41816.533,0.003
213,"somervell",0.33075425607585,36558.044,0.002
214,"starr",0.653994239378107,16169.121,0.004
215,"stephens",0.0863376318904681,32700.243,0.001
216,"sterling",0.0688041720965025,26094.714,0.001
217,"stonewall",0.15018488480367,44391.869,0.001
218,"sutton",0.0952716072023832,36319.09,0
219,"swisher",0.117985684954242,40113.144,0.001
220,"tarrant",0.782076019652114,45795.762,0.024
221,"taylor",0.156097407212512,37746.569,0.002
222,"terrell",0.106792607123357,28615.174,0
223,"terry",0.123215542682465,35735.737,0
224,"throckmorton",0.140620785552692,38185.667,0.001
225,"titus",0.463692454066717,33872.766,0.002
226,"tom green",0.189094863857759,37404.33,0.002
227,"travis",0.774663451168076,49795.342,0.086
228,"trinity",1.01631054391541,28419.215,0.001
229,"tyler",0.826392285317052,29411.618,0.001
230,"upshur",0.403325562676652,31902.837,0.001
231,"upton",0.104807300155149,34266.153,0.001
232,"uvalde",0.288332946954729,30054.676,0.001
233,"val verde",0.212986102549185,29437.07,0.001
234,"van zandt",0.498919347143396,36728.742,0.001
235,"victoria",0.781910230563327,40477.419,0.001
236,"walker",1.02692442810912,24533.569,0.003
237,"waller",1.18877837885369,35835.818,0.002
238,"ward",0.0659347758906064,30477.983,0.001
239,"washington",0.834916025220196,42232.654,0.002
240,"webb",0.446988963239014,25228.008,0.004
241,"wharton",0.888650028290978,34499.469,0.001
242,"wheeler",0.132537850946916,49751.201,0.001
243,"wichita",0.4137294392154,38615.389,0.003
244,"wilbarger",0.190485255308321,34673.94,0.002
245,"willacy",0.735030125900297,23731.189,0.002
246,"williamson",0.818813557778786,41352.419,0.005
247,"wilson",0.47491276070772,34087.174,0.001
248,"winkler",0.089879246145335,33086.559,0
249,"wise",0.296594092257845,33480.143,0.001
250,"wood",0.338039035400437,30864.8,0.001
251,"yoakum",0.108434898853926,40546.678,0
252,"young",0.229076670985572,41095.76,0.001
253,"zapata",0.482567517811363,19915.564,0.003
254,"zavala",0.271153493761073,19402.465,0.002
