Geography,July,September,October,November,December
"Guadalupe County, Texas",83.5,78.8,70,60.5,51.5
"Hale County, Texas",77.2,68.7,58.1,46.3,37.2
"Hall County, Texas",82.5,73.5,62.7,51,41.2
"Hamilton County, Texas",82.2,75.4,65.8,55.3,45.8
"Hansford County, Texas",78.9,69.4,57.2,44.9,34.8
"Hardeman County, Texas",83.2,74.2,62.9,51.1,41.1
"Hardin County, Texas",82.9,78.2,69,60.4,51.8
"Harris County, Texas",83.7,79,70.7,61.6,53.7
"Harrison County, Texas",82.9,76.4,65.7,56.2,47
"Hartley County, Texas",76.4,67.4,55.9,44.2,34.8
"Haskell County, Texas",83.7,75.2,64.4,52.6,42.8
"Hays County, Texas",82.6,76.7,67.7,57.7,49.1
"Hemphill County, Texas",79.3,69.8,57.6,45.2,34.9
"Henderson County, Texas",83,76.5,66,55.7,46.2
"Hidalgo County, Texas",86.2,82.8,76.4,68.5,60.2
"Hill County, Texas",84.1,76.9,66.8,56.2,46.6
"Hockley County, Texas",78.1,69.9,59.6,48.1,39.3
"Hood County, Texas",83.4,75.6,65.6,54.7,45.2
"Hopkins County, Texas",82.6,75.4,64.7,54.2,44.6
"Houston County, Texas",82.8,77,67.3,57.6,48.8
"Howard County, Texas",82.1,74.6,65,53.6,44.3
"Hudspeth County, Texas",79.7,72.1,62.1,50.4,42.5
"Hunt County, Texas",83.2,75.7,65.2,54.3,44.6
"Hutchinson County, Texas",79.3,70.2,58.4,46.2,35.8
"Irion County, Texas",81.6,74.1,64.5,53.1,44.3
"Jack County, Texas",83.9,75.8,65.1,53.8,43.8
"Jackson County, Texas",83.4,79.5,71.7,62.7,54.2
"Jasper County, Texas",82.4,77.4,67.8,59,50.4
"Jeff Davis County, Texas",77.7,71.2,63.2,52.5,44.9
"Jefferson County, Texas",83.1,78.7,70.1,61.3,52.9
"Jim Hogg County, Texas",86,81.5,74.2,65.3,57.3
"Jim Wells County, Texas",85.5,81.3,73.8,64.9,56.8
"Johnson County, Texas",84.3,77.1,67.1,56.4,46.9
"Jones County, Texas",83.3,75.1,64.9,53.4,43.8
"Karnes County, Texas",84.2,79.7,71.4,62,53.2
"Kaufman County, Texas",84.2,77,66.6,56.5,46.6
"Kendall County, Texas",81.6,76.1,67.3,57.3,48.5
"Kenedy County, Texas",84.7,81.2,74.3,66.2,57.9
"Kent County, Texas",81.3,73.3,62.8,51.8,41.8
"Kerr County, Texas",80.7,74.9,65.8,55.7,47.1
"Kimble County, Texas",81.2,74.8,65.8,55.6,46.6
"King County, Texas",82.2,73.7,63,51.8,41.6
"Kinney County, Texas",84.1,78.9,69.9,59.7,50.9
"Kleberg County, Texas",84.7,81.3,74.4,66.3,58.2
"Knox County, Texas",83.8,75,64,52.1,42.2
"La Salle County, Texas",85.6,81.2,72.8,63,54.1
"Lamar County, Texas",82.2,74.8,64,53.3,43.9
"Lamb County, Texas",77,68.5,57.8,46.1,37
"Lampasas County, Texas",82.4,76.1,66.7,56.2,46.8
"Lavaca County, Texas",83.5,79,70.8,61.5,52.8
"Lee County, Texas",83.6,78.4,69.2,59.7,50.6
"Leon County, Texas",83.2,77.5,68,58,49.2
"Liberty County, Texas",82.9,78,69,59.8,51.6
"Limestone County, Texas",83.9,77.9,67.9,57.4,48.4
"Lipscomb County, Texas",79.4,69.6,57.3,44.6,34.2
"Live Oak County, Texas",85.4,80.7,73.1,63.5,54.2
"Llano County, Texas",82.4,76.3,67.1,56.9,47.7
"Loving County, Texas",81.5,73.7,64,52.8,44.3
"Lubbock County, Texas",78.3,69.9,59.9,48.2,39.2
"Lynn County, Texas",79.4,71.1,61.3,49.7,40.9
"Madison County, Texas",83.2,77.7,68.4,58.6,49.6
"Marion County, Texas",82.8,75.9,65,55.5,46.3
"Martin County, Texas",81.3,73.6,63.9,52.3,43.6
"Mason County, Texas",81.4,75.2,65.9,56.1,46.8
"Matagorda County, Texas",83.7,80,72.7,64.3,55.6
"Maverick County, Texas",84.6,79.5,70.7,60.5,51.8
"McCulloch County, Texas",82,75.5,66.1,56.2,46.4
"McLennan County, Texas",84.2,77.8,67.6,57.1,48
"McMullen County, Texas",85.3,80.6,72.9,63.3,54.3
"Medina County, Texas",83.3,78.6,70.2,60.3,51.7
"Menard County, Texas",82,75,65.6,55.6,46.1
"Midland County, Texas",82.4,75,65.7,54.1,45.5
"Milam County, Texas",83.3,77.9,68.2,57.8,49.1
"Mills County, Texas",82.6,76,66.6,56.1,46.7
"Mitchell County, Texas",82.1,74.4,64.6,53.1,43.7
"Montague County, Texas",83.1,75.2,64.2,53.6,43.4
"Montgomery County, Texas",83.3,78.3,69.3,59.9,51.3
"Moore County, Texas",78.1,68.6,56.8,44.8,35.2
"Morris County, Texas",82.3,75.3,64.4,54.5,45.2
"Motley County, Texas",81.3,72.3,61.8,50.1,40.4
"Nacogdoches County, Texas",82.9,77,66.9,57.4,48.6
"Navarro County, Texas",83.9,77.2,66.8,56.3,46.9
"Newton County, Texas",82,77,67.5,58.3,49.8
"Nolan County, Texas",82.3,74.7,64.9,53.4,44.1
"Nueces County, Texas",84.3,80.9,74,65.5,57.4
"Ochiltree County, Texas",79.1,69.5,57.2,44.7,34.7
"Oldham County, Texas",77,68.1,56.8,45.4,36
"Orange County, Texas",82.5,78,69.2,60.5,52.1
"Palo Pinto County, Texas",84,76.1,65.6,54.3,44.7
"Panola County, Texas",82.7,76.2,65.8,56.1,47.1
"Parker County, Texas",83.7,76,65.8,55.1,45.4
"Parmer County, Texas",76.9,68.6,57.7,45.9,36.9
"Pecos County, Texas",83.2,76.1,66.8,55.3,45.7
"Polk County, Texas",82.7,77.2,67.8,58.3,49.8
"Potter County, Texas",78.3,69.1,57.5,45.8,36.1
"Presidio County, Texas",79.6,73.5,65.2,54.6,47.1
"Rains County, Texas",83,76,65.4,55,45.4
"Randall County, Texas",78.1,69,57.7,46,36.4
"Reagan County, Texas",81.9,74.1,64.7,53.2,44.3
"Real County, Texas",81.2,75.6,66.7,56.4,48
"Red River County, Texas",82.2,75,64.2,53.7,44.4
"Reeves County, Texas",81.2,73.6,64.6,53.3,45
"Refugio County, Texas",83.9,80.3,72.9,64.4,55.9
"Roberts County, Texas",79.4,70.3,58.6,46.2,36.2
"Robertson County, Texas",83.3,77.7,68.4,58.6,49.6
"Rockwall County, Texas",84.1,76.6,65.9,55.7,45.8
"Runnels County, Texas",82.5,75.4,65.7,54.7,45.3
"Rusk County, Texas",82.7,76.3,65.8,56.1,47.3
"Sabine County, Texas",82.3,76.6,66.9,57.2,48.4
"San Augustine County, Texas",82.6,77.1,66.9,57.7,48.9
"San Jacinto County, Texas",83,77.8,68.8,59.3,51
"San Patricio County, Texas",83.9,80.3,73.1,64.7,56.5
"San Saba County, Texas",82.4,76.1,66.6,56.6,47.1
"Schleicher County, Texas",82.1,75,65.7,55.1,46
"Scurry County, Texas",82,74,64,52.8,43.4
"Shackelford County, Texas",83.7,75.6,65.5,54.1,44.6
"Shelby County, Texas",82.8,76.6,66.5,56.9,48.4
"Sherman County, Texas",77.7,68.4,56.5,44.5,34.6
"Smith County, Texas",82.7,76.1,65.9,56.4,46.5
"Somervell County, Texas",83.3,75.6,65.6,54.8,45.2
"Starr County, Texas",86.8,82.8,76,67.7,59.3
"Stephens County, Texas",83.5,75.5,65.2,54,44.3
"Sterling County, Texas",82,74.4,64.5,52.9,43.9
"Stonewall County, Texas",82.5,74,63.4,51.9,42
"Sutton County, Texas",81.5,75,65.9,55.5,46.3
"Swisher County, Texas",77.6,69.1,58.8,46.8,37.6
"Tarrant County, Texas",84.5,76.9,66.7,55.9,46.4
"Taylor County, Texas",83.2,75.5,65.5,54.2,44.8
"Terrell County, Texas",83.3,76.7,67.1,55.8,47.2
"Terry County, Texas",78.4,70.4,60.3,48.7,40.2
"Throckmorton County, Texas",84.1,75.7,64.9,53.4,43.2
"Titus County, Texas",82.7,75.5,64.6,54.4,45.1
"Tom Green County, Texas",82.2,74.8,65.1,54,45
"Travis County, Texas",83.5,78.2,69,59.2,50.5
"Trinity County, Texas",82.9,77,67.4,57.8,48.8
"Tyler County, Texas",82.2,77.1,67.6,58.5,50
"Upshur County, Texas",82.7,75.8,65.1,55.4,46.2
"Upton County, Texas",83.1,75.7,66.4,54.7,45.7
"Uvalde County, Texas",82.9,78,69.2,59,50.6
"Val Verde County, Texas",84.8,78.1,68.6,56.9,48.4
"Van Zandt County, Texas",83,76.5,65.8,55.5,45.9
"Victoria County, Texas",84,79.8,71.8,62.8,54.6
"Walker County, Texas",83,77.5,68.4,58.9,50.2
"Waller County, Texas",83.8,78.7,70,60.5,51.6
"Ward County, Texas",81.8,75.8,66,53.9,45.3
"Washington County, Texas",83.8,78.7,69.9,60.2,51.3
"Webb County, Texas",86.2,81.6,73.4,63.6,54.9
"Wharton County, Texas",83.5,79.2,71.4,62.3,53.9
"Wheeler County, Texas",80,71.1,59.7,47.3,37.1
"Wichita County, Texas",83.7,74.6,63.2,50.9,40.6
"Wilbarger County, Texas",83.9,74.5,63.2,51.1,41
"Willacy County, Texas",85,81.7,75.7,68.2,60.4
"Williamson County, Texas",83.5,77.9,68.4,58.2,49.2
"Wilson County, Texas",84,79.3,70.8,61.1,52.4
"Winkler County, Texas",81.9,74.3,64.5,52.7,44.4
"Wise County, Texas",82.9,75.2,64.7,54.2,43.9
"Wood County, Texas",82.6,75.7,65,54.9,45.5
"Yoakum County, Texas",78,69.9,59.7,48.2,39.6
"Young County, Texas",84.1,75.8,65.1,53.7,43.7
"Zapata County, Texas",86.5,82.1,74.8,65.7,57.5
"Zavala County, Texas",84.9,80.3,71.6,61.4,52.7
