id,Geography,rnott.low,rnott.high,rnott.high.slope,increase.cr,decrease.cr,decrease.b,increase.b,increase.alpha,decrease.alpha,July,September,October,November,August
28,"Caldwell County, Texas",0.447035128,2.447046771,0.50060705,1.23980408,0.783034156,0.418482765,1.6621979,1.327697277,0.331924319,1.041431473,0.782612105,0.135997592,0.000739598,1.004893834
29,"Calhoun County, Texas",0.284677517,1.55830975,0.619338145,0.789522624,0.498645868,0.266495018,1.058508249,0.845494102,0.211373526,0.663196486,0.535277653,0.235416673,0.004311807,0.639928863
30,"Callahan County, Texas",0.157821719,0.863907785,0.213263117,0.437701645,0.276443144,0.147741565,0.586823972,0.468731545,0.117182886,0.424128918,0.186533135,0.010713087,1.05E-05,0.354768702
31,"Cameron County, Texas",0.237856214,1.3020124,0.364964459,0.659668751,0.416632895,0.222664215,0.88441394,0.706434523,0.176608631,0.515920178,0.497819606,0.226903199,0.030708009,0.534678882
32,"Camp County, Texas",0.423940094,2.320625773,1.182555341,1.175752477,0.742580512,0.396862824,1.576324299,1.259104876,0.314776219,1.099322435,0.50106459,0.007407176,2.82E-05,0.952978324
33,"Carson County, Texas",0.042275837,0.231415707,0.065474073,0.117247509,0.074051058,0.039575658,0.157193033,0.125559515,0.031389879,0.117742661,0.021204548,3.68E-05,1.53E-08,0.095032191
34,"Cass County, Texas",0.257271232,1.408289187,0.275297803,0.713514225,0.450640563,0.240839186,0.956604245,0.764097255,0.191024314,0.66713208,0.304074811,0.004495101,1.71E-05,0.578322056
35,"Castro County, Texas",0.03015595,0.165072083,0.05152717,0.083634299,0.052821663,0.028229874,0.112128003,0.08956337,0.022390842,0.087041259,0.008541646,1.11E-05,1.35E-08,0.0677878
36,"Chambers County, Texas",0.37117378,2.031785745,0.3018489,1.029410752,0.650154159,0.347466721,1.380124825,1.102388574,0.275597144,0.864701749,0.649803729,0.19294104,0.001925608,0.834364504
37,"Cherokee County, Texas",0.221895923,1.21464661,0.220210568,0.615404593,0.388676585,0.207723317,0.82506925,0.659032355,0.164758089,0.575400086,0.361687249,0.035493562,4.63E-05,0.498801618
38,"Childress County, Texas",0.059011661,0.323026729,0.108417721,0.163662527,0.103365806,0.055242556,0.219421368,0.175265023,0.043816256,0.153023609,0.05629424,0.000353159,4.29E-07,0.132652785
39,"Clay County, Texas",0.074219809,0.406275331,0.20156116,0.205840697,0.130004651,0.069479352,0.275969389,0.220433323,0.055108331,0.172905529,0.076044356,0.001124154,1.36E-06,0.166839302
40,"Cochran County, Texas",0.022500349,0.123165728,0.020268857,0.06240231,0.039411985,0.02106324,0.083662403,0.066826185,0.016706546,0.052417742,0.011285637,1.96E-05,2.55E-08,0.050578715
41,"Coke County, Texas",0.039862628,0.218205929,0.041560686,0.110554733,0.069824042,0.037316582,0.148220067,0.118392268,0.029598067,0.103368098,0.047114561,0.000696489,8.45E-07,0.08960752
42,"Coleman County, Texas",0.209847472,1.148694022,0.363575461,0.581989504,0.367572318,0.196444407,0.78026984,0.623248376,0.155812094,0.544157151,0.248023575,0.014244644,1.40E-05,0.471717808
43,"Collin County, Texas",0.208538924,1.1415311,0.326386861,0.578360386,0.365280244,0.195219436,0.775404303,0.61936198,0.154840495,0.48582088,0.294665259,0.012271366,3.83E-06,0.468776313
44,"Collingsworth County, Texas",0.039609232,0.216818851,0.026826054,0.109851965,0.069380188,0.03707937,0.147277871,0.117639679,0.02940992,0.106445556,0.029427198,9.37E-05,3.89E-08,0.089037908
45,"Colorado County, Texas",0.322466437,1.76516431,0.4671977,0.894326149,0.564837568,0.30187034,1.199017707,0.957727444,0.239431861,0.751231113,0.564533123,0.167622318,0.000533505,0.724874879
46,"Comal County, Texas",0.397902187,2.178095638,0.41821038,1.103539128,0.696972081,0.372487971,1.479508295,1.181772119,0.29544303,1.03180333,0.648574996,0.063646801,0.000242179,0.894447504
47,"Comanche County, Texas",0.285194708,1.561140826,0.258476208,0.790956998,0.499551788,0.266979176,1.060431306,0.847030163,0.211757541,0.739540668,0.337078213,0.004982986,6.05E-06,0.641091461
48,"Concho County, Texas",0.238528455,1.305692212,0.316429481,0.66153314,0.417810404,0.22329352,0.886913515,0.708431084,0.177107771,0.618530036,0.28192229,0.016191536,1.59E-05,0.536190018
49,"Cooke County, Texas",0.175627059,0.961373283,0.534569751,0.487082852,0.307631275,0.164409669,0.65302906,0.521613524,0.130403381,0.455419926,0.207577678,0.003068595,3.72E-06,0.394793469
50,"Coryell County, Texas",0.331549851,1.81488644,0.241343338,0.919518025,0.580748226,0.310373592,1.232792305,0.984705243,0.246176311,0.859744558,0.391866427,0.022505915,2.20E-05,0.745293557
51,"Cottle County, Texas",0.04968341,0.271964372,0.090095649,0.13779162,0.087026286,0.046510105,0.184736399,0.147560055,0.036890014,0.128834446,0.047395544,0.000297334,3.61E-07,0.111683734
52,"Crane County, Texas",0.020236556,0.110773845,0.014888339,0.056123923,0.035446688,0.018944037,0.075245008,0.060102706,0.015025676,0.052475576,0.023918053,0.001373676,1.35E-06,0.045489917
53,"Crockett County, Texas",0.160635507,0.879310312,0.169335389,0.445505385,0.281371822,0.150375635,0.597286399,0.477088514,0.119272128,0.416545212,0.261833628,0.010904089,1.07E-05,0.361093838
54,"Crosby County, Texas",0.056780858,0.310815429,0.069152552,0.157475632,0.099458294,0.053154235,0.211126636,0.168639522,0.042159881,0.152592457,0.04218465,0.000134264,1.63E-07,0.127638144
55,"Culberson County, Texas",0.011753237,0.064336602,0.020708081,0.032596345,0.020587166,0.011002552,0.043701725,0.034907192,0.008726798,0.032734004,0.010072843,0.00010053,3.89E-08,0.026420196
56,"Dallam County, Texas",0.007415533,0.040592238,0.011266838,0.020566188,0.012989171,0.006941899,0.027572964,0.022024182,0.005506046,0.02140398,0.002100443,8.73E-07,1.06E-09,0.016669436
57,"Dallas County, Texas",0.243676346,1.333871499,0.161121945,0.675810265,0.426827536,0.228112613,0.906054772,0.723720355,0.180930089,0.567678468,0.344314395,0.014339009,4.40E-05,0.547762005
58,"Dawson County, Texas",0.026678164,0.146034868,0.022087164,0.073989033,0.046729916,0.024974216,0.099196654,0.079234324,0.019808581,0.064410328,0.019820219,0.000197812,7.65E-08,0.059970059
59,"Deaf Smith County, Texas",0.023865937,0.130640884,0.04144974,0.066189622,0.041803972,0.022341607,0.088740029,0.07088199,0.017720498,0.068885948,0.006760005,8.81E-06,1.07E-08,0.05364843
60,"Delta County, Texas",0.132614892,0.725926943,0.16736815,0.36779321,0.232290448,0.124144711,0.493098152,0.393867104,0.098466776,0.343884733,0.156740604,0.002317077,2.81E-06,0.298106075
61,"Denton County, Texas",0.244549228,1.33864961,0.379565687,0.678231111,0.428356491,0.228929744,0.909300385,0.726312821,0.181578205,0.657199785,0.289038382,0.004272819,5.18E-06,0.549724163
62,"DeWitt County, Texas",0.448726237,2.456303816,0.445302317,1.244494192,0.785996332,0.420065863,1.668485904,1.332719884,0.333179971,1.045371152,0.785572684,0.233253833,0.000742396,1.008695293
63,"Dickens County, Texas",0.049934216,0.273337271,0.04871905,0.138487203,0.087465602,0.046744892,0.185668963,0.14830495,0.037076238,0.12494196,0.054949839,0.000344725,4.18E-07,0.112247523
64,"Dimmit County, Texas",0.509261804,2.787672322,1.099325424,1.412383107,0.892031436,0.476734992,1.893573566,1.512510916,0.378127729,1.144773676,1.065856161,0.392106569,0.002459862,1.144773676
65,"Donley County, Texas",0.037873113,0.207315431,0.036178995,0.105037027,0.066339175,0.035454138,0.140822512,0.112483397,0.028120849,0.105480612,0.018996247,3.29E-05,1.37E-08,0.085135274
66,"Duval County, Texas",0.512650205,2.806220253,0.68930478,1.421780475,0.897966616,0.479906974,1.906172561,1.52257449,0.380643622,1.15239049,0.897482616,0.394715471,0.007229466,1.15239049
67,"Eastland County, Texas",0.232936185,1.275080423,0.304500185,0.646023579,0.408014892,0.218058432,0.86611994,0.691822006,0.172955502,0.604028677,0.275312658,0.015811927,1.55E-05,0.523619111
68,"Ector County, Texas",0.068843923,0.376848014,0.036529099,0.190931253,0.12058816,0.064446827,0.255980386,0.204466906,0.051116727,0.178519726,0.081368223,0.00467319,1.46E-06,0.154754805
69,"Edwards County, Texas",0.181133147,0.991513318,0.179231517,0.502353397,0.317275829,0.16956408,0.673502188,0.537966641,0.13449166,0.469697806,0.21408545,0.012295488,3.78E-05,0.407170648
71,"El Paso County, Texas",0.005097115,0.02790134,0.00741343,0.014136303,0.008928192,0.00477156,0.018952457,0.015138466,0.003784616,0.015247095,0.006949535,0.000102734,4.27E-08,0.011457846
70,"Ellis County, Texas",0.204713537,1.120591129,0.27260256,0.567751083,0.358579631,0.191638378,0.761180474,0.608000554,0.152000138,0.476909099,0.28925999,0.012046263,1.18E-05,0.460177194
72,"Erath County, Texas",0.210971348,1.154846061,0.399933994,0.585106454,0.369540918,0.1974965,0.784448716,0.626586295,0.156646574,0.547071483,0.24935191,0.014320933,1.40E-05,0.474244178
73,"Falls County, Texas",0.548764072,3.003905661,0.954117894,1.52193842,0.961224265,0.51371423,2.040453718,1.629832913,0.407458228,1.278423419,0.775403,0.076092851,9.92E-05,1.23357114
74,"Fannin County, Texas",0.113227493,0.61980134,0.192639127,0.314024333,0.198331158,0.105995595,0.421010541,0.336286401,0.0840716,0.293611114,0.133826189,0.001978336,2.40E-06,0.254524986
75,"Fayette County, Texas",0.414116159,2.266850067,0.407882395,1.148506844,0.725372743,0.387666348,1.539796242,1.229927723,0.307481931,0.964742086,0.724981771,0.125982941,0.000685135,0.930895021
76,"Fisher County, Texas",0.052888812,0.289510576,0.060996539,0.14668146,0.092640922,0.049510777,0.196654955,0.157080121,0.03927003,0.137146401,0.062510509,0.000924085,1.12E-06,0.118889184
77,"Floyd County, Texas",0.037204681,0.203656467,0.047071789,0.103183201,0.065168337,0.034828399,0.138337099,0.110498148,0.027624537,0.103618958,0.018660978,3.24E-05,4.22E-08,0.0836327
78,"Foard County, Texas",0.048097792,0.263284783,0.059929539,0.133394078,0.084248892,0.045025761,0.178840641,0.14285076,0.03571269,0.12925765,0.056847891,0.000287844,3.49E-07,0.108119411
79,"Fort Bend County, Texas",0.53494105,2.928239164,0.411817958,1.483601747,0.93701163,0.500774091,1.98905597,1.588778446,0.397194611,1.246220736,0.936506585,0.278069432,0.002775214,1.202498258
80,"Franklin County, Texas",0.147549644,0.807678989,0.202170621,0.409213146,0.258450408,0.138125573,0.548629612,0.438223416,0.109555854,0.382612157,0.174392333,0.00257802,3.13E-06,0.331678023
81,"Freestone County, Texas",0.268802567,1.471411111,0.410241115,0.74549515,0.470839042,0.25163401,0.99948088,0.798345397,0.199586349,0.626213549,0.379817717,0.037272764,4.86E-05,0.604243438
82,"Frio County, Texas",0.524848497,2.872993064,0.845881156,1.455611133,0.919333347,0.491326155,1.951529122,1.558803499,0.389700875,1.22270871,0.986869899,0.27282319,0.000868336,1.179811129
83,"Gaines County, Texas",0.017494148,0.095762047,0.026604139,0.048518148,0.030643041,0.016376788,0.06504799,0.051957735,0.012989434,0.047013644,0.012997065,0.000129715,5.02E-08,0.039325235
84,"Galveston County, Texas",0.343134667,1.878301115,0.34136022,0.951647273,0.601040383,0.32121848,1.275867795,1.019112224,0.254778056,0.889785238,0.69296544,0.205756702,0.002053512,0.771335158
85,"Garza County, Texas",0.050870861,0.278464416,0.026182525,0.141084888,0.089106245,0.047621713,0.189151664,0.151086792,0.037771698,0.127285569,0.055980565,0.000351191,4.26E-07,0.114353015
86,"Gillespie County, Texas",0.218390199,1.195456461,0.187786192,0.605681843,0.382535901,0.204441505,0.812034017,0.648620332,0.162155083,0.546440936,0.297758682,0.017101061,1.67E-05,0.490921073
87,"Glasscock County, Texas",0.021682145,0.118686919,0.012250211,0.060133107,0.037978805,0.020297295,0.080620097,0.064396112,0.016099028,0.064858202,0.023859999,0.000437011,5.30E-07,0.048739466
88,"Goliad County, Texas",0.79500054,4.351791134,1.020323635,2.20484891,1.392536154,0.744223449,2.956027719,2.361156848,0.590289212,1.852066052,1.494835379,0.413251795,0.004124374,1.787088064
89,"Gonzales County, Texas",0.454332335,2.486991301,0.551229973,1.260042105,0.795816066,0.425313896,1.689330897,1.349370032,0.337342508,1.058431349,0.795387125,0.138217557,0.000751671,1.021297285
90,"Gray County, Texas",0.057471323,0.314595,0.056090391,0.159390564,0.100667724,0.0538006,0.213693973,0.170690209,0.042672552,0.138755677,0.024988831,4.33E-05,1.80E-08,0.129190246
91,"Grayson County, Texas",0.101963044,0.558140337,0.150218098,0.282783589,0.178600161,0.095450612,0.379126262,0.302830912,0.075707728,0.264401181,0.120512477,0.001781521,2.16E-06,0.22920354
92,"Gregg County, Texas",0.183604334,1.005040466,0.164818035,0.50920697,0.321604402,0.171877431,0.682690732,0.545306083,0.136326521,0.476105861,0.299272495,0.012463235,1.22E-05,0.412725649
93,"Grimes County, Texas",0.253882557,1.389739759,0.410883601,0.704116098,0.444704904,0.237666948,0.944004233,0.754032868,0.188508217,0.591455277,0.44446521,0.077236472,0.000420036,0.570704627
94,"Guadalupe County, Texas",0.6475554,3.544684194,0.896833407,1.795925595,1.134268797,0.606195706,2.407786681,1.923243809,0.480810952,1.508571772,1.133657432,0.197000122,0.001071349,1.455644956
95,"Hale County, Texas",0.025299701,0.138489232,0.049692809,0.070166013,0.044315377,0.023683796,0.094071153,0.075140279,0.01878507,0.073024323,0.007166117,2.73E-05,1.13E-08,0.0568714
96,"Hall County, Texas",0.069437169,0.380095412,0.106956153,0.192576557,0.121627299,0.065002182,0.258186236,0.206228851,0.051557213,0.207708694,0.076411758,0.000479365,5.82E-07,0.156088367
97,"Hamilton County, Texas",0.352815322,1.931292513,0.313507983,0.978495535,0.61799718,0.330280827,1.311863099,1.047863834,0.261965959,0.914888223,0.417000579,0.023949436,2.35E-05,0.793096381
98,"Hansford County, Texas",0.006221911,0.034058415,0.002838849,0.017255805,0.010898403,0.005824515,0.023134754,0.018479118,0.004619779,0.017328679,0.003120762,1.85E-06,7.17E-10,0.013986284
99,"Hardeman County, Texas",0.062487378,0.342052619,0.091289598,0.173302054,0.109453929,0.058496277,0.232345026,0.185587924,0.046396981,0.162036517,0.059609903,0.00037396,4.54E-07,0.140465876
100,"Hardin County, Texas",0.379360959,2.07660193,0.431789614,1.052117016,0.664494958,0.35513098,1.410566978,1.126704549,0.281676137,0.852768529,0.664136798,0.11540967,0.000627634,0.852768529
101,"Harris County, Texas",0.371607972,2.034162487,0.26841442,1.030614936,0.650914697,0.34787318,1.381739268,1.103678127,0.275919532,0.86571326,0.650563857,0.193166738,0.000614807,0.835340527
102,"Harrison County, Texas",0.155818249,0.852940896,0.177114804,0.432145236,0.272933833,0.145866057,0.579374527,0.462781226,0.115695307,0.350265086,0.220171005,0.009169045,8.98E-06,0.350265086
103,"Hartley County, Texas",0.0122013,0.066789274,0.009738954,0.033839,0.021372,0.011421997,0.045367744,0.036237941,0.009059485,0.035217478,0.003456007,1.44E-06,1.74E-09,0.0274274
104,"Haskell County, Texas",0.044362574,0.242838396,0.067664994,0.123034851,0.077706221,0.041529114,0.164952087,0.131757137,0.032939284,0.119219653,0.052433151,0.000775113,3.22E-07,0.099722984
105,"Hays County, Texas",0.398962048,2.18389726,0.646815091,1.106478539,0.698828551,0.373480138,1.483449145,1.184919913,0.296229978,1.034551664,0.650302554,0.063816332,8.32E-05,0.896829973
106,"Hemphill County, Texas",0.027045141,0.148043681,0.012607239,0.075006805,0.047372719,0.025317754,0.100561174,0.080324248,0.020081062,0.065296337,0.011759368,6.99E-06,2.70E-09,0.060794989
107,"Henderson County, Texas",0.316120384,1.730426349,0.509432674,0.87672605,0.553721716,0.295929613,1.17542136,0.938879624,0.234719906,0.710609535,0.446677737,0.018601942,1.82E-05,0.710609535
108,"Hidalgo County, Texas",0.450071389,2.463667104,1.385942617,1.248224826,0.788352521,0.421325099,1.673487542,1.336714993,0.334178748,1.011719069,0.941973969,0.592109702,0.058105676,1.011719069
109,"Hill County, Texas",0.355663672,1.946884229,0.546153599,0.986395128,0.622986396,0.332947251,1.322454035,1.056323451,0.264080863,0.828568761,0.502552357,0.020928846,2.05E-05,0.799499209
110,"Hockley County, Texas",0.036328027,0.198857707,0.043146306,0.100751894,0.063632775,0.034007737,0.13507746,0.107894479,0.02697362,0.101177383,0.018221269,3.16E-05,4.12E-08,0.081662061
111,"Hood County, Texas",0.252707137,1.383305572,0.279078001,0.700856197,0.442646019,0.236566603,0.939633702,0.750541863,0.187635466,0.679123288,0.298680402,0.017153998,1.68E-05,0.568062391
112,"Hopkins County, Texas",0.205660409,1.125774257,0.309371523,0.570377131,0.360238188,0.192524773,0.764701201,0.61081277,0.152703192,0.533299644,0.243074787,0.003593345,4.36E-06,0.462305675
113,"Houston County, Texas",0.276991616,1.516237535,0.454214294,0.768206601,0.485183117,0.25930002,1.029929986,0.822666927,0.205666732,0.718269166,0.451492458,0.044306443,5.77E-05,0.622651666
114,"Howard County, Texas",0.047338987,0.259131126,0.072056362,0.131289615,0.082919757,0.044315422,0.176019199,0.140597105,0.035149276,0.141605992,0.064543164,0.000954134,1.16E-06,0.106413688
115,"Hudspeth County, Texas",0.00495802,0.027139939,0.01210559,0.013750537,0.00868455,0.004641349,0.018435263,0.014725351,0.003681338,0.015370268,0.004249157,4.24E-05,1.64E-08,0.011145172
116,"Hunt County, Texas",0.208626174,1.142008702,0.366444427,0.578602365,0.365433073,0.195301114,0.775728723,0.619621113,0.154905278,0.540990194,0.246580094,0.003645163,4.42E-06,0.468972443
117,"Hutchinson County, Texas",0.015042955,0.082344343,0.019132567,0.041720025,0.02634949,0.014082154,0.055933788,0.044677675,0.011169419,0.036318902,0.006540755,1.13E-05,4.71E-09,0.033815178
118,"Irion County, Texas",0.162437958,0.889176837,0.104636022,0.450504291,0.284529026,0.152062963,0.603988403,0.482441807,0.120610452,0.485903681,0.178753975,0.003273993,3.97E-06,0.365145583
119,"Jack County, Texas",0.174161528,0.953351043,0.16949036,0.483018358,0.305064226,0.163037742,0.647579818,0.517260887,0.129315222,0.40573388,0.178442944,0.0026379,3.20E-06,0.39149909
120,"Jackson County, Texas",0.318477627,1.743329774,0.404993222,0.883263611,0.557850702,0.298136298,1.18418623,0.945880652,0.236470163,0.741938616,0.557550023,0.165548882,0.001652226,0.715908401
121,"Jasper County, Texas",0.246074979,1.347001489,0.351236068,0.682462617,0.431029021,0.230358044,0.91497354,0.73084431,0.182711078,0.638098988,0.401098772,0.039361144,0.000149771,0.55315391
122,"Jeff Davis County, Texas",0.012867525,0.070436155,0.021329286,0.035686703,0.02253897,0.01204567,0.047844949,0.038216634,0.009554158,0.029976717,0.011027818,0.000110061,1.34E-07,0.028925012
123,"Jefferson County, Texas",0.205938139,1.127294536,0.272243989,0.571147386,0.360724665,0.192784764,0.765733877,0.61163763,0.152909407,0.462929986,0.360530236,0.062650761,0.000340715,0.462929986
124,"Jim Hogg County, Texas",0.42963369,2.351792219,0.755238303,1.191543057,0.75255351,0.402192767,1.597494635,1.276014894,0.319003724,0.965777004,0.899199022,0.330796834,0.023538732,0.965777004
125,"Jim Wells County, Texas",0.536457618,2.93654078,0.622011652,1.487807787,0.939668076,0.502193796,1.994694983,1.593282664,0.398320666,1.205907364,0.9391616,0.41304601,0.007565202,1.205907364
126,"Johnson County, Texas",0.286322116,1.5673122,0.403893758,0.794083744,0.501526575,0.268034576,1.064623316,0.850378573,0.212594643,0.667027812,0.404572819,0.039702064,5.17E-05,0.643625771
127,"Jones County, Texas",0.058480524,0.320119311,0.131395833,0.162189474,0.102435457,0.054745343,0.217446456,0.173687542,0.043421885,0.157160127,0.069119482,0.001021785,1.24E-06,0.131458837
128,"Karnes County, Texas",0.514720428,2.817552545,0.652457129,1.427522017,0.901592853,0.481844971,1.913870212,1.528723066,0.382180767,1.199113941,0.967826143,0.267558486,0.002670312,1.157044161
129,"Kaufman County, Texas",0.114018431,0.624130891,0.165640968,0.316217914,0.199716577,0.106736015,0.423951462,0.338635491,0.084658873,0.265622039,0.161107911,0.006709356,2.06E-05,0.256302941
130,"Kendall County, Texas",0.330880371,1.811221743,0.186991399,0.917661295,0.579575555,0.309746872,1.230302998,0.982716884,0.245679221,0.858008525,0.539330374,0.052926267,6.90E-05,0.743788628
131,"Kenedy County, Texas",0.246250722,1.347963499,0.181004795,0.682950022,0.431336856,0.230522563,0.915627001,0.731366269,0.182841567,0.534128223,0.431104368,0.23491115,0.013491563,0.553548965
132,"Kent County, Texas",0.063271913,0.346347125,0.067890907,0.17547788,0.110828135,0.059230704,0.235262142,0.187918,0.0469795,0.15831463,0.069627236,0.000436803,5.30E-07,0.142229439
133,"Kerr County, Texas",0.225414238,1.233905683,0.248908858,0.625162264,0.394839325,0.211016916,0.838151301,0.669481775,0.167370444,0.564016004,0.307335434,0.017651079,1.73E-05,0.506710467
134,"Kimble County, Texas",0.17256361,0.944604124,0.214725943,0.478586703,0.302265286,0.161541884,0.641638325,0.51251506,0.128128765,0.431776797,0.23527756,0.013512607,1.32E-05,0.387907117
135,"King County, Texas",0.065352674,0.357737098,0.03884455,0.181248646,0.114472829,0.061178565,0.242998974,0.194097872,0.048524468,0.169466539,0.062343256,0.000391107,4.75E-07,0.146906797
136,"Kinney County, Texas",0.206996454,1.133087698,0.425198397,0.57408251,0.362578427,0.193775484,0.76966898,0.614780833,0.153695208,0.482227477,0.362382999,0.062972723,0.000109215,0.465308982
137,"Kleberg County, Texas",0.463559139,2.537498342,0.781403401,1.285631659,0.81197789,0.43395138,1.723638659,1.376773701,0.344193425,1.005479362,0.811540238,0.442212755,0.025397437,1.042038292
138,"Knox County, Texas",0.056547192,0.309536357,0.075714583,0.156827586,0.099049002,0.052935494,0.210257805,0.167945535,0.041986384,0.151964506,0.066834433,0.000988005,4.11E-07,0.127112886
142,"La Salle County, Texas",0.599117353,3.279536873,0.625070589,1.661587856,1.049423909,0.560851421,2.22768088,1.77938249,0.444845623,1.346760683,1.048858275,0.461290927,0.002893886,1.346760683
139,"Lamar County, Texas",0.137694786,0.753734016,0.198341463,0.381881752,0.241188475,0.12890015,0.511986577,0.408954423,0.102238606,0.357057447,0.162744649,0.002405834,2.92E-06,0.30952521
140,"Lamb County, Texas",0.025932423,0.141952719,0.039590235,0.0719208,0.045423663,0.024276106,0.096423785,0.077019467,0.019254867,0.074850593,0.007345335,9.57E-06,1.16E-08,0.058293701
